Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 3250: {'01': 254, '00': 252, '10': 275, '11': 243}
Counts for pub 3251: {'00': 669, '01': 53, '11': 198, '10': 104}
Counts for pub 3252: {'11': 808, '01': 144, '10': 40, '00': 32}
Counts for pub 3253: {'01': 365, '11': 184, '10': 168, '00': 307}
Counts for pub 3254: {'11': 425, '10': 549, '00': 30, '01': 20}
Counts for pub 3255: {'11': 642, '10': 70, '01': 255, '00': 57}
Counts for pub 3256: {'01': 62, '00': 642, '10': 247, '11': 73}
Counts for pub 3257: {'00': 450, '11': 537, '01': 20, '10': 17}
Counts for pub 3258: {'00': 635, '10': 117, '11': 96, '01': 176}
Counts for pub 3259: {'11': 286, '00': 212, '10': 340, '01': 186}
Counts for pub 3260: {'10': 730, '11': 105, '00': 169, '01': 20}
Counts for pub 3261: {'11': 556, '01': 87, '00': 328, '10': 53}
Counts for pub 3262: {'00': 163, '01': 260, '11': 490, '10': 111}
Counts for pub 3263: {'11': 518, '10': 327, '00': 104, '01': 75}
Counts for pub 3264: {'10': 349, '11': 264, '01': 202, '00': 209}
Counts for pub 3265: {'00': 1013, '10': 9, '11': 1, '01': 1}
Counts for pub 3266: {'10': 314, '11': 228, '00': 210, '01': 272}
Counts for pub 3267: {'01': 281, '11': 234, '00': 250, '10': 259}
Counts for pub 3268: {'11': 829, '10': 48, '01': 114, '00': 33}
Counts for pub 3269: {'11': 812, '01': 110, '10': 47, '00': 55}
Counts for pub 3270: {'10': 149, '11': 234, '01': 539, '00': 102}
Counts for pub 3271: {'00': 568, '01': 376, '10': 44, '11': 36}
Counts for pub 3272: {'11': 757, '00': 104, '01': 109, '10': 54}
Counts for pub 3273: {'11': 521, '01': 398, '10': 58, '00': 47}
Counts for pub 3274: {'01': 707, '11': 286, '00': 23, '10': 8}
Counts for pub 3275: {'10': 102, '11': 905, '01': 14, '00': 3}
Counts for pub 3276: {'00': 847, '11': 132, '10': 14, '01': 31}
Counts for pub 3277: {'10': 710, '01': 245, '00': 42, '11': 27}
Counts for pub 3278: {'00': 537, '11': 287, '01': 98, '10': 102}
Counts for pub 3279: {'00': 636, '10': 128, '11': 198, '01': 62}
Counts for pub 3280: {'00': 1014, '10': 6, '01': 4}
Counts for pub 3281: {'01': 186, '10': 472, '00': 204, '11': 162}
Counts for pub 3282: {'00': 808, '10': 64, '11': 109, '01': 43}
Counts for pub 3283: {'00': 727, '10': 28, '11': 226, '01': 43}
Counts for pub 3284: {'00': 157, '01': 334, '10': 116, '11': 417}
Counts for pub 3285: {'11': 597, '00': 388, '01': 17, '10': 22}
Counts for pub 3286: {'00': 364, '11': 621, '01': 15, '10': 24}
Counts for pub 3287: {'01': 253, '10': 236, '00': 297, '11': 238}
Counts for pub 3288: {'11': 602, '00': 381, '01': 20, '10': 21}
Counts for pub 3289: {'01': 451, '11': 513, '00': 36, '10': 24}
Counts for pub 3290: {'00': 912, '01': 94, '10': 13, '11': 5}
Counts for pub 3291: {'01': 82, '00': 916, '10': 17, '11': 9}
Counts for pub 3292: {'11': 599, '10': 304, '01': 45, '00': 76}
Counts for pub 3293: {'11': 728, '01': 218, '10': 41, '00': 37}
Counts for pub 3294: {'00': 110, '11': 480, '10': 293, '01': 141}
Counts for pub 3295: {'00': 756, '11': 225, '10': 19, '01': 24}
Counts for pub 3296: {'00': 918, '01': 82, '10': 17, '11': 7}
Counts for pub 3297: {'01': 497, '00': 246, '11': 106, '10': 175}
Counts for pub 3298: {'01': 298, '00': 124, '11': 458, '10': 144}
Counts for pub 3299: {'00': 716, '11': 34, '01': 184, '10': 90}
Counts for pub 3300: {'01': 202, '11': 70, '00': 615, '10': 137}
Counts for pub 3301: {'00': 798, '01': 78, '11': 67, '10': 81}
Counts for pub 3302: {'10': 152, '01': 127, '00': 352, '11': 393}
Counts for pub 3303: {'00': 838, '10': 73, '11': 82, '01': 31}
Counts for pub 3304: {'11': 324, '01': 263, '10': 224, '00': 213}
Counts for pub 3305: {'11': 565, '00': 82, '01': 323, '10': 54}
Counts for pub 3306: {'00': 1007, '10': 10, '01': 7}
Counts for pub 3307: {'11': 580, '01': 326, '00': 71, '10': 47}
Counts for pub 3308: {'00': 864, '11': 103, '10': 13, '01': 44}
Counts for pub 3309: {'00': 330, '11': 654, '10': 23, '01': 17}
Counts for pub 3310: {'10': 222, '01': 134, '11': 402, '00': 266}
Counts for pub 3311: {'00': 927, '01': 24, '10': 70, '11': 3}
Counts for pub 3312: {'10': 265, '01': 271, '11': 213, '00': 275}
Counts for pub 3313: {'11': 867, '10': 109, '00': 31, '01': 17}
Counts for pub 3314: {'00': 729, '11': 244, '01': 27, '10': 24}
Counts for pub 3315: {'00': 244, '10': 183, '11': 318, '01': 279}
Counts for pub 3316: {'01': 269, '11': 162, '00': 492, '10': 101}
Counts for pub 3317: {'00': 734, '01': 90, '11': 93, '10': 107}
Counts for pub 3318: {'00': 1015, '01': 3, '10': 6}
Counts for pub 3319: {'01': 430, '10': 52, '11': 484, '00': 58}
Counts for pub 3320: {'00': 916, '10': 88, '01': 15, '11': 5}
Counts for pub 3321: {'00': 1012, '10': 10, '01': 2}
Counts for pub 3322: {'11': 633, '00': 364, '01': 8, '10': 19}
Counts for pub 3323: {'10': 567, '01': 95, '11': 181, '00': 181}
Counts for pub 3324: {'11': 493, '10': 370, '00': 88, '01': 73}
Counts for pub 3325: {'00': 1011, '01': 3, '10': 10}
Counts for pub 3326: {'01': 120, '00': 679, '11': 139, '10': 86}
Counts for pub 3327: {'11': 538, '00': 286, '10': 134, '01': 66}
Counts for pub 3328: {'00': 284, '01': 241, '11': 237, '10': 262}
Counts for pub 3329: {'11': 812, '10': 150, '00': 43, '01': 19}
Counts for pub 3330: {'10': 308, '01': 300, '00': 210, '11': 206}
Counts for pub 3331: {'00': 765, '10': 27, '11': 215, '01': 17}
Counts for pub 3332: {'10': 55, '11': 888, '01': 26, '00': 55}
Counts for pub 3333: {'10': 147, '00': 362, '01': 391, '11': 124}
Counts for pub 3334: {'10': 440, '11': 373, '00': 100, '01': 111}
Counts for pub 3335: {'01': 483, '11': 415, '00': 64, '10': 62}
Counts for pub 3336: {'00': 817, '11': 65, '10': 78, '01': 64}
Counts for pub 3337: {'00': 430, '10': 78, '11': 426, '01': 90}
Counts for pub 3338: {'00': 701, '01': 181, '11': 107, '10': 35}
Counts for pub 3339: {'10': 253, '01': 260, '00': 272, '11': 239}
Counts for pub 3340: {'10': 883, '00': 48, '11': 88, '01': 5}
Counts for pub 3341: {'00': 342, '11': 648, '10': 20, '01': 14}
Counts for pub 3342: {'11': 651, '00': 198, '10': 55, '01': 120}
Counts for pub 3343: {'10': 325, '11': 579, '01': 51, '00': 69}
Counts for pub 3344: {'01': 259, '00': 261, '10': 249, '11': 255}
Counts for pub 3345: {'10': 75, '00': 925, '01': 23, '11': 1}
Counts for pub 3346: {'11': 256, '00': 295, '01': 229, '10': 244}
Counts for pub 3347: {'10': 375, '01': 336, '11': 143, '00': 170}
Counts for pub 3348: {'11': 886, '01': 28, '10': 59, '00': 51}
Counts for pub 3349: {'11': 902, '10': 61, '00': 42, '01': 19}
Counts for pub 3350: {'11': 376, '01': 372, '10': 148, '00': 128}
Counts for pub 3351: {'00': 576, '01': 415, '11': 22, '10': 11}
Counts for pub 3352: {'11': 589, '00': 79, '01': 303, '10': 53}
Counts for pub 3353: {'01': 179, '11': 741, '00': 72, '10': 32}
Counts for pub 3354: {'11': 549, '01': 446, '10': 14, '00': 15}
Counts for pub 3355: {'11': 785, '01': 128, '10': 98, '00': 13}
Counts for pub 3356: {'11': 134, '01': 61, '00': 765, '10': 64}
Counts for pub 3357: {'00': 153, '01': 233, '10': 552, '11': 86}
Counts for pub 3358: {'11': 335, '00': 575, '10': 49, '01': 65}
Counts for pub 3359: {'00': 779, '11': 199, '10': 21, '01': 25}
Counts for pub 3360: {'11': 611, '00': 367, '10': 30, '01': 16}
Counts for pub 3361: {'10': 540, '11': 169, '01': 153, '00': 162}
Counts for pub 3362: {'00': 599, '11': 255, '01': 57, '10': 113}
Counts for pub 3363: {'00': 787, '11': 189, '01': 28, '10': 20}
Counts for pub 3364: {'00': 592, '10': 324, '11': 54, '01': 54}
Counts for pub 3365: {'00': 1013, '01': 3, '10': 8}
Counts for pub 3366: {'00': 1018, '01': 2, '10': 4}
Counts for pub 3367: {'10': 260, '11': 188, '00': 309, '01': 267}
Counts for pub 3368: {'00': 1011, '10': 11, '01': 2}
Counts for pub 3369: {'01': 199, '10': 203, '00': 306, '11': 316}
Counts for pub 3370: {'01': 47, '11': 522, '00': 398, '10': 57}
Counts for pub 3371: {'01': 58, '00': 392, '11': 513, '10': 61}
Counts for pub 3372: {'00': 563, '01': 337, '11': 72, '10': 52}
Counts for pub 3373: {'11': 155, '10': 97, '00': 710, '01': 62}
Counts for pub 3374: {'01': 275, '00': 354, '10': 208, '11': 187}
Counts for pub 3375: {'00': 795, '11': 176, '10': 17, '01': 36}
Counts for pub 3376: {'00': 373, '01': 53, '11': 530, '10': 68}
Counts for pub 3377: {'01': 546, '00': 264, '11': 77, '10': 137}
Counts for pub 3378: {'00': 422, '10': 347, '11': 132, '01': 123}
Counts for pub 3379: {'11': 485, '00': 235, '01': 117, '10': 187}
Counts for pub 3380: {'11': 356, '00': 370, '01': 143, '10': 155}
Counts for pub 3381: {'11': 328, '00': 575, '01': 77, '10': 44}
Counts for pub 3382: {'00': 688, '01': 274, '10': 31, '11': 31}
Counts for pub 3383: {'00': 617, '11': 324, '01': 46, '10': 37}
Counts for pub 3384: {'11': 65, '00': 529, '10': 319, '01': 111}
Counts for pub 3385: {'00': 197, '10': 158, '11': 367, '01': 302}
Counts for pub 3386: {'11': 618, '00': 378, '10': 11, '01': 17}
Counts for pub 3387: {'01': 311, '10': 155, '11': 381, '00': 177}
Counts for pub 3388: {'00': 651, '11': 304, '10': 29, '01': 40}
Counts for pub 3389: {'00': 1006, '01': 8, '10': 10}
Counts for pub 3390: {'00': 554, '01': 415, '10': 28, '11': 27}
Counts for pub 3391: {'11': 524, '10': 70, '01': 99, '00': 331}
Counts for pub 3392: {'01': 232, '11': 279, '00': 243, '10': 270}
Counts for pub 3393: {'11': 481, '00': 406, '01': 54, '10': 83}
Counts for pub 3394: {'00': 800, '01': 37, '11': 165, '10': 22}
Counts for pub 3395: {'10': 307, '00': 513, '11': 79, '01': 125}
Counts for pub 3396: {'11': 631, '10': 363, '00': 19, '01': 11}
Counts for pub 3397: {'00': 101, '11': 729, '01': 89, '10': 105}
Counts for pub 3398: {'00': 387, '11': 582, '01': 24, '10': 31}
Counts for pub 3399: {'11': 119, '00': 526, '10': 308, '01': 71}
Counts for pub 3400: {'10': 74, '11': 553, '00': 301, '01': 96}
Counts for pub 3401: {'00': 364, '11': 608, '01': 21, '10': 31}
Counts for pub 3402: {'00': 1013, '10': 10, '01': 1}
Counts for pub 3403: {'01': 251, '00': 210, '10': 379, '11': 184}
Counts for pub 3404: {'01': 135, '11': 388, '10': 361, '00': 140}
Counts for pub 3405: {'00': 345, '11': 638, '01': 22, '10': 19}
Counts for pub 3406: {'11': 222, '10': 57, '00': 628, '01': 117}
Counts for pub 3407: {'11': 779, '10': 151, '00': 69, '01': 25}
Counts for pub 3408: {'00': 454, '10': 255, '01': 184, '11': 131}
Counts for pub 3409: {'11': 520, '10': 66, '00': 382, '01': 56}
Counts for pub 3410: {'10': 51, '01': 554, '00': 354, '11': 65}
Counts for pub 3411: {'11': 182, '00': 788, '10': 22, '01': 32}
Counts for pub 3412: {'00': 781, '01': 32, '11': 195, '10': 16}
Counts for pub 3413: {'01': 459, '11': 98, '00': 373, '10': 94}
Counts for pub 3414: {'01': 303, '10': 204, '00': 288, '11': 229}
Counts for pub 3415: {'10': 540, '00': 314, '01': 86, '11': 84}
Counts for pub 3416: {'00': 583, '11': 329, '01': 56, '10': 56}
Counts for pub 3417: {'00': 782, '01': 18, '10': 209, '11': 15}
Counts for pub 3418: {'11': 706, '10': 211, '00': 84, '01': 23}
Counts for pub 3419: {'10': 238, '00': 318, '01': 273, '11': 195}
Counts for pub 3420: {'01': 640, '11': 38, '10': 259, '00': 87}
Counts for pub 3421: {'00': 1019, '10': 5}
Counts for pub 3422: {'01': 67, '11': 737, '00': 167, '10': 53}
Counts for pub 3423: {'00': 544, '01': 365, '10': 47, '11': 68}
Counts for pub 3424: {'10': 226, '01': 268, '00': 335, '11': 195}
Counts for pub 3425: {'00': 314, '11': 559, '01': 95, '10': 56}
Counts for pub 3426: {'01': 230, '10': 241, '00': 444, '11': 109}
Counts for pub 3427: {'11': 212, '10': 656, '01': 45, '00': 111}
Counts for pub 3428: {'00': 801, '11': 182, '01': 30, '10': 11}
Counts for pub 3429: {'00': 830, '11': 132, '01': 43, '10': 19}
Counts for pub 3430: {'00': 615, '10': 305, '11': 61, '01': 43}
Counts for pub 3431: {'00': 287, '11': 308, '01': 199, '10': 230}
Counts for pub 3432: {'00': 182, '11': 377, '01': 295, '10': 170}
Counts for pub 3433: {'11': 558, '00': 305, '10': 68, '01': 93}
Counts for pub 3434: {'00': 456, '01': 103, '11': 203, '10': 262}
Counts for pub 3435: {'00': 482, '01': 143, '10': 139, '11': 260}
Counts for pub 3436: {'00': 600, '11': 236, '10': 114, '01': 74}
Counts for pub 3437: {'01': 98, '10': 626, '00': 244, '11': 56}
Counts for pub 3438: {'00': 780, '11': 88, '01': 122, '10': 34}
Counts for pub 3439: {'00': 796, '01': 33, '11': 173, '10': 22}
Counts for pub 3440: {'10': 614, '11': 163, '00': 175, '01': 72}
Counts for pub 3441: {'11': 443, '10': 280, '00': 130, '01': 171}
Counts for pub 3442: {'10': 897, '01': 19, '11': 74, '00': 34}
Counts for pub 3443: {'00': 231, '10': 457, '11': 225, '01': 111}
Counts for pub 3444: {'00': 370, '11': 471, '01': 108, '10': 75}
Counts for pub 3445: {'00': 201, '10': 396, '11': 176, '01': 251}
Counts for pub 3446: {'01': 242, '10': 389, '11': 195, '00': 198}
Counts for pub 3447: {'00': 756, '10': 107, '11': 56, '01': 105}
Counts for pub 3448: {'11': 181, '10': 402, '00': 188, '01': 253}
Counts for pub 3449: {'11': 576, '10': 296, '01': 104, '00': 48}
Counts for pub 3450: {'01': 150, '11': 306, '10': 405, '00': 163}
Counts for pub 3451: {'10': 433, '11': 316, '01': 123, '00': 152}
Counts for pub 3452: {'00': 474, '11': 215, '01': 186, '10': 149}
Counts for pub 3453: {'10': 207, '00': 169, '11': 396, '01': 252}
Counts for pub 3454: {'00': 639, '11': 143, '01': 192, '10': 50}
Counts for pub 3455: {'10': 495, '11': 229, '01': 103, '00': 197}
Counts for pub 3456: {'10': 421, '11': 305, '00': 160, '01': 138}
Counts for pub 3457: {'01': 408, '11': 523, '10': 52, '00': 41}
Counts for pub 3458: {'00': 403, '10': 139, '01': 293, '11': 189}
Counts for pub 3459: {'01': 346, '11': 298, '10': 192, '00': 188}
Counts for pub 3460: {'00': 627, '10': 374, '01': 9, '11': 14}
Counts for pub 3461: {'10': 490, '00': 457, '01': 36, '11': 41}
Counts for pub 3462: {'01': 140, '10': 248, '11': 419, '00': 217}
Counts for pub 3463: {'00': 370, '10': 418, '11': 131, '01': 105}
Counts for pub 3464: {'11': 317, '00': 558, '10': 86, '01': 63}
Counts for pub 3465: {'01': 663, '00': 317, '11': 32, '10': 12}
Counts for pub 3466: {'10': 600, '11': 176, '01': 99, '00': 149}
Counts for pub 3467: {'01': 659, '00': 307, '11': 39, '10': 19}
Counts for pub 3468: {'10': 507, '00': 159, '01': 77, '11': 281}
Counts for pub 3469: {'01': 266, '10': 394, '11': 170, '00': 194}
Counts for pub 3470: {'11': 442, '10': 131, '00': 318, '01': 133}
Counts for pub 3471: {'10': 722, '11': 178, '00': 59, '01': 65}
Counts for pub 3472: {'01': 77, '11': 714, '00': 108, '10': 125}
Counts for pub 3473: {'01': 699, '11': 273, '00': 35, '10': 17}
Counts for pub 3474: {'00': 203, '01': 114, '11': 210, '10': 497}
Counts for pub 3475: {'00': 570, '11': 326, '01': 51, '10': 77}
Counts for pub 3476: {'10': 388, '01': 337, '00': 138, '11': 161}
Counts for pub 3477: {'00': 281, '01': 255, '11': 250, '10': 238}
Counts for pub 3478: {'10': 605, '01': 78, '11': 175, '00': 166}
Counts for pub 3479: {'10': 102, '01': 122, '00': 224, '11': 576}
Counts for pub 3480: {'11': 161, '10': 760, '00': 48, '01': 55}
Counts for pub 3481: {'10': 587, '00': 180, '01': 70, '11': 187}
Counts for pub 3482: {'10': 396, '01': 254, '00': 187, '11': 187}
Counts for pub 3483: {'00': 1014, '10': 8, '01': 2}
Counts for pub 3484: {'00': 607, '10': 244, '01': 123, '11': 50}
Counts for pub 3485: {'11': 184, '10': 598, '01': 77, '00': 165}
Counts for pub 3486: {'10': 282, '00': 222, '11': 283, '01': 237}
Counts for pub 3487: {'01': 672, '11': 187, '10': 111, '00': 54}
Counts for pub 3488: {'01': 57, '00': 700, '11': 161, '10': 106}
Counts for pub 3489: {'01': 711, '11': 275, '00': 23, '10': 15}
Counts for pub 3490: {'01': 183, '00': 342, '11': 200, '10': 299}
Counts for pub 3491: {'00': 182, '10': 519, '11': 215, '01': 108}
Counts for pub 3492: {'01': 510, '11': 216, '10': 175, '00': 123}
Counts for pub 3493: {'10': 72, '01': 394, '11': 479, '00': 79}
Counts for pub 3494: {'01': 95, '00': 831, '10': 20, '11': 78}
Counts for pub 3495: {'01': 429, '10': 194, '00': 260, '11': 141}
Counts for pub 3496: {'10': 567, '00': 406, '11': 31, '01': 20}
Counts for pub 3497: {'11': 160, '10': 565, '01': 234, '00': 65}
Counts for pub 3498: {'00': 208, '10': 279, '01': 201, '11': 336}
Counts for pub 3499: {'00': 728, '01': 106, '10': 126, '11': 64}
Counts for pub 3500: {'11': 199, '10': 223, '00': 319, '01': 283}
Counts for pub 3501: {'00': 197, '11': 183, '10': 387, '01': 257}
Counts for pub 3502: {'11': 477, '01': 384, '00': 79, '10': 84}
Counts for pub 3503: {'00': 471, '11': 199, '10': 148, '01': 206}
Counts for pub 3504: {'00': 731, '01': 100, '10': 114, '11': 79}
Counts for pub 3505: {'10': 728, '11': 170, '00': 59, '01': 67}
Counts for pub 3506: {'11': 188, '00': 673, '01': 57, '10': 106}
Counts for pub 3507: {'01': 231, '10': 263, '11': 331, '00': 199}
Counts for pub 3508: {'01': 517, '11': 239, '10': 160, '00': 108}
Counts for pub 3509: {'01': 514, '11': 231, '10': 169, '00': 110}
Counts for pub 3510: {'00': 378, '11': 489, '01': 79, '10': 78}
Counts for pub 3511: {'10': 792, '01': 24, '11': 70, '00': 138}
Counts for pub 3512: {'01': 681, '00': 294, '10': 20, '11': 29}
Counts for pub 3513: {'01': 303, '11': 546, '00': 56, '10': 119}
Counts for pub 3514: {'11': 595, '00': 109, '10': 187, '01': 133}
Counts for pub 3515: {'01': 496, '00': 447, '11': 44, '10': 37}
Counts for pub 3516: {'10': 873, '11': 95, '00': 45, '01': 11}
Counts for pub 3517: {'00': 845, '11': 74, '01': 89, '10': 16}
Counts for pub 3518: {'10': 382, '11': 353, '01': 129, '00': 160}
Counts for pub 3519: {'00': 219, '10': 467, '01': 109, '11': 229}
Counts for pub 3520: {'11': 461, '10': 418, '00': 81, '01': 64}
Counts for pub 3521: {'00': 82, '01': 743, '10': 35, '11': 164}
Counts for pub 3522: {'11': 327, '10': 544, '00': 94, '01': 59}
Counts for pub 3523: {'10': 340, '11': 652, '01': 18, '00': 14}
Counts for pub 3524: {'10': 327, '11': 229, '00': 211, '01': 257}
Counts for pub 3525: {'11': 386, '01': 134, '10': 365, '00': 139}
Counts for pub 3526: {'00': 148, '11': 369, '10': 372, '01': 135}
Counts for pub 3527: {'00': 366, '10': 614, '01': 20, '11': 24}
Counts for pub 3528: {'01': 126, '11': 381, '10': 370, '00': 147}
Counts for pub 3529: {'10': 236, '00': 464, '11': 126, '01': 198}
Counts for pub 3530: {'11': 742, '00': 75, '10': 188, '01': 19}
Counts for pub 3531: {'11': 727, '10': 205, '00': 64, '01': 28}
Counts for pub 3532: {'11': 367, '00': 601, '01': 23, '10': 33}
Counts for pub 3533: {'11': 196, '01': 232, '00': 449, '10': 147}
Counts for pub 3534: {'00': 514, '10': 217, '01': 93, '11': 200}
Counts for pub 3535: {'11': 673, '10': 324, '01': 17, '00': 10}
Counts for pub 3536: {'11': 743, '10': 184, '01': 34, '00': 63}
Counts for pub 3537: {'10': 76, '11': 891, '00': 21, '01': 36}
Counts for pub 3538: {'00': 333, '11': 237, '01': 168, '10': 286}
Counts for pub 3539: {'11': 712, '10': 71, '00': 163, '01': 78}
Counts for pub 3540: {'10': 728, '00': 130, '11': 114, '01': 52}
Counts for pub 3541: {'10': 663, '11': 294, '01': 26, '00': 41}
Counts for pub 3542: {'11': 718, '00': 168, '10': 76, '01': 62}
Counts for pub 3543: {'11': 562, '10': 417, '01': 31, '00': 14}
Counts for pub 3544: {'00': 260, '01': 184, '10': 398, '11': 182}
Counts for pub 3545: {'10': 310, '00': 364, '01': 184, '11': 166}
Counts for pub 3546: {'11': 466, '10': 414, '00': 80, '01': 64}
Counts for pub 3547: {'00': 386, '11': 158, '10': 308, '01': 172}
Counts for pub 3548: {'11': 679, '10': 323, '01': 13, '00': 9}
Counts for pub 3549: {'01': 138, '11': 370, '10': 363, '00': 153}
Counts for pub 3550: {'11': 692, '00': 278, '01': 28, '10': 26}
Counts for pub 3551: {'10': 386, '00': 107, '11': 398, '01': 133}
Counts for pub 3552: {'11': 424, '01': 514, '00': 39, '10': 47}
Counts for pub 3553: {'01': 784, '11': 7, '00': 213, '10': 20}
Counts for pub 3554: {'10': 348, '11': 644, '01': 17, '00': 15}
Counts for pub 3555: {'10': 424, '11': 165, '00': 253, '01': 182}
Counts for pub 3556: {'01': 558, '10': 392, '00': 46, '11': 28}
Counts for pub 3557: {'01': 102, '00': 339, '10': 122, '11': 461}
Counts for pub 3558: {'10': 402, '01': 67, '11': 450, '00': 105}
Counts for pub 3559: {'01': 286, '00': 252, '10': 244, '11': 242}
Counts for pub 3560: {'11': 410, '00': 125, '10': 363, '01': 126}
Counts for pub 3561: {'10': 385, '00': 89, '11': 492, '01': 58}
Counts for pub 3562: {'10': 356, '11': 360, '01': 154, '00': 154}
Counts for pub 3563: {'00': 621, '01': 104, '10': 231, '11': 68}
Counts for pub 3564: {'00': 1015, '10': 8, '01': 1}
Counts for pub 3565: {'00': 81, '11': 489, '10': 387, '01': 67}
Counts for pub 3566: {'11': 820, '01': 45, '10': 150, '00': 9}
Counts for pub 3567: {'01': 780, '11': 21, '10': 66, '00': 157}
Counts for pub 3568: {'00': 317, '11': 87, '10': 512, '01': 108}
Counts for pub 3569: {'01': 747, '10': 22, '00': 240, '11': 15}
Counts for pub 3570: {'00': 70, '01': 150, '11': 39, '10': 765}
Counts for pub 3571: {'11': 629, '10': 360, '01': 18, '00': 17}
Counts for pub 3572: {'11': 127, '00': 240, '01': 446, '10': 211}
Counts for pub 3573: {'11': 937, '01': 47, '10': 30, '00': 10}
Counts for pub 3574: {'00': 617, '11': 124, '10': 233, '01': 50}
Counts for pub 3575: {'00': 243, '10': 325, '11': 194, '01': 262}
Counts for pub 3576: {'10': 645, '11': 309, '01': 30, '00': 40}
Counts for pub 3577: {'10': 336, '11': 398, '00': 125, '01': 165}
Counts for pub 3578: {'00': 400, '11': 507, '10': 59, '01': 58}
Counts for pub 3579: {'00': 383, '01': 15, '10': 611, '11': 15}
Counts for pub 3580: {'01': 662, '11': 45, '00': 154, '10': 163}
Counts for pub 3581: {'11': 377, '10': 378, '01': 132, '00': 137}
Counts for pub 3582: {'01': 529, '00': 397, '11': 49, '10': 49}
Counts for pub 3583: {'00': 594, '11': 386, '01': 24, '10': 20}
Counts for pub 3584: {'10': 590, '00': 381, '11': 32, '01': 21}
Counts for pub 3585: {'01': 119, '10': 369, '11': 418, '00': 118}
Counts for pub 3586: {'00': 320, '01': 94, '10': 519, '11': 91}
Counts for pub 3587: {'01': 671, '00': 105, '10': 117, '11': 131}
Counts for pub 3588: {'00': 280, '01': 423, '10': 197, '11': 124}
Counts for pub 3589: {'00': 267, '10': 201, '01': 427, '11': 129}
Counts for pub 3590: {'11': 221, '00': 239, '01': 262, '10': 302}
Counts for pub 3591: {'10': 889, '01': 55, '00': 44, '11': 36}
Counts for pub 3592: {'01': 176, '00': 376, '11': 162, '10': 310}
Counts for pub 3593: {'00': 456, '11': 76, '01': 413, '10': 79}
Counts for pub 3594: {'01': 291, '00': 335, '11': 190, '10': 208}
Counts for pub 3595: {'10': 172, '00': 577, '01': 149, '11': 126}
Counts for pub 3596: {'10': 557, '11': 308, '00': 108, '01': 51}
Counts for pub 3597: {'00': 426, '10': 179, '01': 288, '11': 131}
Counts for pub 3598: {'11': 749, '10': 182, '00': 62, '01': 31}
Counts for pub 3599: {'11': 649, '01': 14, '10': 350, '00': 11}
Counts for pub 3600: {'00': 1011, '10': 8, '01': 5}
Counts for pub 3601: {'00': 210, '11': 151, '10': 487, '01': 176}
Counts for pub 3602: {'00': 762, '11': 119, '10': 88, '01': 55}
Counts for pub 3603: {'11': 227, '00': 741, '10': 28, '01': 28}
Counts for pub 3604: {'11': 398, '10': 126, '01': 351, '00': 149}
Counts for pub 3605: {'11': 618, '00': 358, '10': 26, '01': 22}
Counts for pub 3606: {'00': 361, '11': 619, '01': 20, '10': 24}
Counts for pub 3607: {'10': 246, '11': 220, '01': 270, '00': 288}
Counts for pub 3608: {'11': 633, '00': 355, '10': 20, '01': 16}
Counts for pub 3609: {'01': 458, '11': 500, '00': 28, '10': 38}
Counts for pub 3610: {'00': 893, '01': 105, '10': 18, '11': 8}
Counts for pub 3611: {'00': 911, '01': 79, '10': 26, '11': 8}
Counts for pub 3612: {'11': 575, '10': 325, '01': 47, '00': 77}
Counts for pub 3613: {'11': 763, '01': 190, '00': 45, '10': 26}
Counts for pub 3614: {'11': 486, '01': 141, '10': 312, '00': 85}
Counts for pub 3615: {'00': 740, '11': 236, '01': 33, '10': 15}
Counts for pub 3616: {'00': 912, '01': 94, '10': 14, '11': 4}
Counts for pub 3617: {'01': 519, '11': 116, '00': 256, '10': 133}
Counts for pub 3618: {'11': 470, '00': 116, '01': 291, '10': 147}
Counts for pub 3619: {'10': 104, '00': 701, '01': 187, '11': 32}
Counts for pub 3620: {'10': 171, '00': 594, '01': 195, '11': 64}
Counts for pub 3621: {'01': 80, '00': 810, '11': 57, '10': 77}
Counts for pub 3622: {'10': 138, '00': 339, '11': 440, '01': 107}
Counts for pub 3623: {'00': 820, '10': 81, '11': 95, '01': 28}
Counts for pub 3624: {'00': 228, '11': 329, '10': 199, '01': 268}
Counts for pub 3625: {'10': 55, '11': 548, '01': 345, '00': 76}
Counts for pub 3626: {'00': 1018, '01': 1, '10': 5}
Counts for pub 3627: {'11': 558, '00': 73, '01': 345, '10': 48}
Counts for pub 3628: {'00': 885, '01': 44, '11': 89, '10': 6}
Counts for pub 3629: {'00': 353, '11': 635, '01': 16, '10': 20}
Counts for pub 3630: {'00': 218, '10': 246, '11': 406, '01': 154}
Counts for pub 3631: {'00': 921, '10': 75, '01': 25, '11': 3}
Counts for pub 3632: {'11': 258, '01': 262, '00': 251, '10': 253}
Counts for pub 3633: {'11': 847, '00': 35, '10': 117, '01': 25}
Counts for pub 3634: {'00': 750, '11': 233, '01': 24, '10': 17}
Counts for pub 3635: {'00': 246, '11': 293, '10': 203, '01': 282}
Counts for pub 3636: {'10': 104, '01': 270, '00': 468, '11': 182}
Counts for pub 3637: {'00': 698, '01': 95, '10': 124, '11': 107}
Counts for pub 3638: {'00': 1013, '10': 8, '01': 3}
Counts for pub 3639: {'11': 488, '01': 425, '10': 64, '00': 47}
